,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1799999,2245.769019558454,2204.5678829587146,2273.195552602339,2241.764532749344,2241.985404782018,2113.0163124104984,2270.034499191807,2334.095738458418,2199.963028047786,2184.961849989853,2255.0426561550494,2303.4742393277465,2303.583988008507,2247.4613620350538,2337.5337968518293,2304.454437734878,2302.0126805936925,2205.1330770547547,2299.320245066513,2248.0523670079715,2288.365904762638,2222.7736934664176,2204.2174552435426,2195.1521062780726,2262.5440822153773,2219.6257490476555,2276.8825180959807,2215.244205702938,2330.953584954795,2274.995608301234,2283.0572592162525,2329.901142518411,2169.0341116117784,2330.7534373111293,2325.8605058052726,2204.7017429782727,2340.0341144876193,2302.26628793448,2253.123173859923,2280.37956356521,2203.704773765214,2130.518600759559,2227.994307798323,2191.746860517091,2318.238747625822,2291.1242951873155,2324.3914661743775,2257.9490141326796,2329.4993042379374,2315.5601209266297,2258.7244285186375,2297.58624862425,2268.035052686883,2234.0079871825137,2222.252066195916,2281.7902934503613,2265.402614604098,2168.9062268730822,2166.963628512152,2366.2212928593744,2398.5840769914626,2207.369008305077,2227.4582462436724,2489.2278217986236,2243.7265274747283,2221.172658083033,2238.618137885936,2164.5186167133766,2221.1168109882774,2223.5953924068267,2316.1036128391074,2316.275962852518,2351.125347800611,2250.762721890379,2289.442081884312,2238.120472470534,2353.7393701330016,2290.641003087374,2302.390666705319,2311.16946037378,2259.9074846757017,2369.530678100485,2214.3375074397463,2251.155830482554,2210.0454385470453,2255.174826891544,2320.49649349061,2263.8670240496917,2201.9813322044624,2322.6437828914086,2181.7016413174733,2331.5791652376806,2214.8389074524707,2311.4139623209126,2319.608051575942,2193.762429666027,2218.33854791479,2261.9080269827164,2350.6812368476594,2249.2963486758904,2172.4740497171606,2179.6433770692497,2359.673981897693,2329.7997607578814,2217.5224758092654,2278.635188784902,2198.939282813644,2243.490306303199,2236.673659925315,2271.224607206788,2171.645523905399,2190.981567781889,2221.0025231405734
1800039,2333.0526539111456,2203.3078549231427,2242.640408539347,2314.4912610831434,2224.2754968250433,2207.7549892121006,2265.801983172344,2296.328542800841,2238.9202987845265,2164.9158976623044,2245.331771219702,2284.62195479068,2234.1328724288746,2221.768673267461,2300.5878659807054,2222.6490368619975,2368.4175290891017,2179.8620924047186,2278.0668783617048,2201.667542828995,2256.4156712357226,2322.1781494547104,2255.7474406038436,2213.297264405167,2288.901340399526,2258.916241778668,2308.430050049737,2209.0138933628073,2388.563951740812,2222.608731156455,2261.9622997204506,2241.945251130166,2290.0058475764085,2275.5949854341716,2242.8265420426214,2221.111666413603,2353.8782407383405,2274.7580483885336,2217.7810383687283,2327.6944774615276,2213.852746876426,2157.911253252087,2263.126537686364,2230.556244693048,2318.307100874609,2308.7906702027212,2262.1989195650785,2225.5319896247934,2355.342463830312,2370.085741238906,2259.440620662051,2362.114650385357,2254.3598599823035,2293.955423117101,2241.582931464054,2252.0823032732656,2269.907896903975,2179.658528019319,2183.216537873648,2310.026226102587,2263.0662120565103,2265.3681954647973,2173.7335051685377,2302.418432647325,2345.611066268292,2196.324419744612,2146.254235468529,2175.2512142314304,2229.743591649735,2184.2009612475103,2314.2410117735003,2672.9277783574676,2406.318447608519,2263.1131202706247,2266.605470140254,2261.7435316876736,2296.5827746745895,2245.2845811922625,2272.4673842222346,2320.2696790754644,2225.014221858207,2306.877343399776,2244.018755779145,2235.453434475724,2220.3755655915916,2293.730952347351,2273.6961156710313,2344.085769454287,2181.160803707508,2311.308842594625,2183.150286117145,2284.9940983752444,2463.5455252545166,2334.606656697802,2365.0566919257826,2235.972017079422,2155.7989543771187,2195.367058721358,2257.2325843024505,2272.204053192676,2246.3545766228094,2221.9231247849943,2351.339176184371,2301.4264800083783,2278.8216771965604,2251.7190710354985,2302.1866745535153,2213.2964134634126,2301.0598838259907,2222.9150761514215,2173.549890232286,2161.2087637088052,2308.3482492813746
1800079,2316.502394675728,2193.1894988466797,2148.609325087782,2254.393625432959,2199.7234106695055,2269.1704220470706,2230.06191474027,2389.1094751694377,2405.6582395928226,2224.5480239090843,2247.3844148085063,2293.843568639944,2297.057623303476,2235.367580855227,2277.8146868368917,2233.969005659014,2236.6866547271097,2198.9483688076034,2276.514345934732,2211.2696874061457,2227.6899603606807,2378.6406392793283,2353.2080485914016,2221.584694864503,2193.180619774488,2212.03627541722,2260.753500229886,2306.3361491098794,2392.509423328951,2209.1047769563047,2255.701578950278,2247.948447592616,2291.45068896286,2225.215930559811,2228.665531784498,2267.211173644877,2319.9544996962227,2229.4971753456452,2178.2897349611144,2265.9894017339025,2232.28170766464,2180.3339848443843,2188.344071418767,2236.2099458233747,2301.9797483817897,2291.876839340909,2303.0917677320645,2118.531534884188,2321.2941242705797,2353.6463570143487,2262.4669182486955,2474.285741101595,2222.1701925196303,2197.8518306887727,2233.426694320929,2223.2598708687183,2241.8402201184986,2190.8125311366575,2187.768222760465,2169.3359633628106,2479.1544758476152,2250.0766813899136,2379.823829175772,2319.721789195885,2301.94810646796,2204.350145841973,2220.224558985896,2228.6077719171963,2167.7385537887462,2227.3473106259175,2278.762358941118,2579.5993488314866,2332.027236460682,2287.028004478126,2307.507677443921,2226.573448864332,2259.192945037022,2307.444863325929,2262.2448909547998,2342.207724671631,2226.0399890770705,2248.2571839774378,2290.399305749848,2296.7229071459074,2223.1981369956334,2220.9202529245317,2206.162934191022,2249.7650560847833,2210.1842165079224,2250.446855974005,2275.068940971533,2257.6617388636932,2204.79407168066,2322.8829517686904,2235.1462014113545,2307.2968389087887,2233.4957655206326,2278.83109140093,2213.9187760541727,2276.4165974190328,2279.9073050139923,2354.5708731679947,2321.800827498832,2230.4695234632777,2170.5592722785955,2216.2463914379655,2192.308953468887,2228.19020940382,2289.2789871724276,2363.3003782734704,2142.167073395202,2151.7162321517794,2216.101134727345
1800119,2266.0733644891625,2270.431927528517,2266.8458124807867,2285.443902097094,2241.565162128979,2253.589926066454,2214.9229525847013,2276.359168706404,2207.105176788327,2275.489126498395,2294.8517713870115,2321.570218016702,2238.488798931097,2230.0494398378382,2266.048829451035,2166.367813362912,2220.7720066647003,2251.9854722695945,2250.5466514258023,2128.835170091357,2233.094686647788,2349.484560632249,2228.2593804838853,2247.3370377704973,2241.8992214665045,2226.5483256973025,2244.5975594539527,2281.129328784164,2377.5950390593925,2232.6285131759664,2252.426322127501,2294.368462669453,2304.797002709814,2248.064822435854,2234.4505956259327,2275.393944344081,2234.7862562180644,2205.732506885,2163.956048824599,2277.7617022638874,2202.5458856115247,2276.7262151114346,2269.1836252178127,2289.93961284922,2281.5449499057654,2296.0538577096477,2335.72584174665,2200.1572903353517,2272.1920627960785,2270.8348048092716,2232.3934685491827,2366.472876169427,2230.0779628794708,2194.79519043144,2264.334897296631,2211.3748123223195,2348.2026187131587,2225.091017330481,2213.6284238562534,2203.6441058648493,2271.939239003377,2263.627184604158,2317.6018047604066,2294.051886674322,2248.641174712745,2120.193918005625,2226.8003859778737,2307.813783105281,2344.963013602745,2247.9082856319556,2232.718930627842,2322.41412398188,2228.718989360752,2279.5712627406497,2234.2311879271847,2281.4161546164755,2195.2993388632703,2251.456755788965,2256.390780390962,2295.3770197011195,2266.6135385671646,2178.9598115208005,2318.9789600978866,2310.074431987906,2218.574806588239,2235.4006328711657,2184.3744486819082,2265.3369769758315,2245.8099584176584,2244.3329278588294,2271.172368742328,2247.654691640155,2247.310398320775,2202.3730601995317,2267.5891143200456,2322.6027105797652,2261.6935020064184,2185.73970222513,2167.8082121692,2284.0585544740693,2329.881387091169,2348.2825932029236,2259.129923423381,2275.8482737217037,2218.6307411375706,2204.2604291994176,2336.5736329905158,2301.2386941999803,2460.420332087479,2268.7873708059537,2209.5729602740034,2225.6927991523576,2388.2659065967764
1800159,2211.257110839329,2345.2635371670385,2315.9985684410262,2302.8955472853986,2223.9263605557076,2237.927524771206,2329.373883946728,2231.596780107861,2190.300576766401,2299.1063314862768,2441.2591242174003,2249.622692136984,2305.5500025004994,2197.400082855448,2317.277222554623,2269.8588438071324,2223.9333237738583,2244.7519927819326,2237.358692564818,2255.015898997207,2270.8670929762366,2257.0222314209163,2110.58353701642,2228.6527944559602,2200.4684576205336,2196.5326714956573,2230.7154808616456,2223.6083223100904,2318.230806039235,2246.8225064594717,2200.812103838432,2322.644231941337,2340.6086546208676,2220.1070714110583,2302.3264585040024,2271.4865206238737,2199.9505829497734,2211.5826279732014,2235.24273020395,2320.450421609219,2262.280168957917,2347.127323447995,2325.499276102629,2198.0189955690466,2413.73662826567,2292.169115626823,2370.3252318641917,2198.2868440703264,2204.231433903076,2259.7672651739813,2296.3168078190124,2309.083182803125,2255.0363668112077,2205.804428554941,2249.944202628672,2228.1641793041463,2321.593374441358,2209.101608954846,2246.4606043047474,2202.9613306762117,2213.600840770412,2295.707462486286,2354.485248326672,2285.9347578950205,2283.0623343761968,2157.3271303928705,2214.6807649526213,2443.1430474695767,2411.5489430224807,2334.0832139900763,2214.630539727426,2266.6411497108293,2231.717158574166,2262.419564689932,2206.9141820956397,2237.2835028134464,2249.3788235181732,2257.4595975176912,2265.3952282604996,2245.4341419779535,2208.6243955592236,2193.7438151903925,2276.7178718825357,2343.896639964346,2213.13513133182,2186.5907271923807,2205.616529592049,2237.4800095522096,2262.9345812802853,2243.844540051485,2280.3800045059406,2225.4481268497,2225.173024209692,2253.838296986549,2220.9265039680104,2280.7871669860497,2334.5514056290594,2234.2424589007346,2216.3358898557794,2354.0437371325233,2337.908863228196,2329.428359514204,2220.999830475319,2228.424620228206,2202.004294719494,2233.640056637922,2233.242624808019,2322.238592642976,2271.921981558273,2321.312592181827,2256.51973477023,2215.1612286143913,2249.242194856418
1800199,2205.6163111676965,2316.102775321194,2273.7031758876597,2315.352701279049,2221.0825683300645,2231.075027706205,2352.462063518509,2231.3040604609328,2219.946079838249,2315.6179435591193,2263.22123754304,2320.474997867021,2255.2518775415483,2269.782338307284,2238.7301259278124,2165.029386966145,2215.0406763118444,2249.9936919130087,2166.2354097177904,2332.2571746260196,2272.9910765061068,2198.01475962371,2110.0230967939206,2242.2429952857437,2285.9760274223463,2180.419687758565,2232.840227679084,2234.2335219163974,2303.1131812531485,2360.9285576332604,2222.878554272268,2329.0151403368905,2281.173518944998,2262.5121039070855,2365.243255453561,2259.0060976499058,2226.2461676182174,2195.3766407237363,2255.1634871145725,2264.2398912616104,2245.057278965224,2601.0789268142853,2385.1937881271156,2107.0632487533435,2230.178549227535,2282.468759037198,2325.870674838693,2200.8986402533546,2221.3495562334074,2194.1802696886157,2256.2553069030987,2240.1487984350324,2264.4567381132274,2246.2079911889964,2237.2811027654634,2266.796234544209,2306.3974524719088,2279.891798930977,2276.4765189239124,2212.7585863119125,2184.270223774371,2333.5325163944435,2350.1617834409103,2244.33158859368,2170.3769883485875,2259.5414648701185,2250.545868676161,2917.1445281091096,2383.010790087388,2326.3032521674268,2239.0494322647774,2184.344454295013,2230.083330793919,2293.0003155275394,2220.2851320585532,2258.5585982750335,2185.0284205376224,2176.785364854357,2265.9399227295335,2234.1609794936294,2232.3179268212143,2206.0811694025447,2323.926941327351,2351.4882706912085,2255.923516257033,2203.427658908948,2207.5096506702557,2246.800761409444,2284.0370445408653,2209.2357885266874,2233.1675239958304,2188.2127815656786,2296.699550536355,2233.128571989809,2427.3906097549284,2254.7291768628174,2293.8644589057053,2316.989172158641,2217.4485731247637,2286.633472297624,2238.9712603747535,2268.46920711729,2166.3870720456684,2292.5375490788897,2222.0396616125704,2210.470698759775,2230.435703843183,2302.3673182548664,2461.923788724332,2413.0308791592215,2320.0530669664,2247.3875690368045,2327.688005049434
1800239,2248.6713955209093,2296.277943030529,2228.1415077096926,2263.5599206576276,2297.9553617143933,2322.946472409868,2319.302432167013,2276.6175217242044,2285.19365530754,2317.8426203661793,2466.814506818504,2247.171668216639,2288.3899112557506,2355.7501064996677,2194.381067390502,2247.9136471214238,2210.7051231327587,2301.7344637848214,2247.692887781643,2261.830516903011,2248.021934637083,2215.0267400447,2263.2880542486173,2281.5220555454193,2265.3849558160978,2254.4957567577985,2246.009169449018,2440.5076028082663,2237.8212259177053,2191.8989369130672,2189.049276872142,2245.457048601901,2249.5816469724386,2262.423188677801,2354.477624183977,2253.2816657039994,2222.863774374123,2187.978923938268,2298.104459938986,2233.5477982235634,2231.662311929814,2321.275573620567,2345.534015069357,2214.5865183876076,2255.475805269534,2254.467898869969,2289.291862956155,2195.2563574594096,2192.753587714589,2192.0826892316,2224.627723160212,2299.410922212319,2234.3245354317137,2257.4845716501472,2277.8313341459793,2284.6737661998495,2376.305131151269,2336.466095326108,2286.515777064953,2231.363937028382,2238.6806799091637,2306.5121012911804,2327.5840687669483,2200.1654235984147,2284.0637187603315,2611.6980046501967,2239.781362389302,2662.4180680700356,2442.4062793229928,2230.819181428475,2205.7550820423826,2180.049168171787,2236.197084386689,2305.4644203509824,2245.3896852366097,2220.5976008325006,2216.2944951224454,2185.766265111553,2235.2869588647586,2228.0395670632743,2216.7708549813706,2205.8511434707393,2315.9095628004284,2321.5730590553185,2367.0344767681804,2241.2642883097337,2212.339411565324,2190.754627898745,2347.5787484604066,2210.6548765242337,2285.8410408106984,2173.454965800743,2296.6839754253556,2230.904952597147,2231.080275878996,2253.362942618206,2321.2764315986096,2338.302171082066,2268.863825118053,2293.2629245391076,2304.0324938221142,2238.257339155948,2173.9848532370097,2238.467509717772,2275.4067134232455,2386.624243185964,2216.351679324057,2274.984625877881,2229.905897336707,2370.4824929317047,2334.2962718753206,2325.5405358115877,2296.3151838836047
1800279,2194.0272180680777,2277.7487585625126,2235.2910752181465,2265.198862996043,2337.8440489454615,2280.9657597840337,2288.5187886600215,2288.1297114617964,2311.3416917808213,2268.9879002181606,2306.3653790739195,2187.737076031659,2214.3384762268533,2225.252753302666,2164.7707415431596,2531.380583224848,2209.464339220815,2289.2721741740406,2275.220697291247,2169.2168037213596,2217.45846688212,2219.5889440951323,2264.6759516777884,2360.0395504201997,2202.139582643968,2334.205559223706,2311.8633588487687,2298.235957187918,2229.293584711397,2329.898329999218,2254.36039743496,2188.724312885342,2234.378952612968,2312.0675278309795,2333.0683558874207,2270.0693316257125,2298.083400877161,2232.7762415200696,2327.6334401061263,2195.199659111007,2285.454044382639,2243.9391018022907,2289.121965276337,2296.4375730815605,2230.6646061022097,2244.068821465237,2125.005171104671,2251.586523508263,2174.5551989440123,2328.398534228369,2231.3577525302258,2250.057286971667,2266.9618304694336,2270.9753021819997,2280.8810932751912,2349.593879700204,2305.5196143933535,2405.6295721575725,2334.9478780785244,2251.9424268529765,2222.4923265212738,2263.8872113104117,2321.550689597086,2192.356105857175,2374.3862413515362,2867.6837295370806,2240.5144263293405,2349.9775824966227,2226.3374103867836,2228.949892096414,2224.341935355078,2167.5687376126007,2209.4070108376723,2267.884145537375,2276.315378191772,2275.2716205062566,2262.8464647071455,2218.526206446215,2230.9904611775296,2202.943390074886,2326.7006825127232,2249.339913255805,2303.915862553577,2229.4487223917927,2368.2906653108416,2300.7561132641804,2228.7951717402707,2309.892246466128,2380.3205880203245,2219.45412222495,2339.6727158766303,2202.3502305755333,2361.3224686866643,2197.766756811277,2259.0484337238327,2240.679275834128,2305.2949089060016,2283.0550461538874,2283.403103089041,2238.411756278009,2154.7346274502556,2207.0779590530196,2342.7185345846124,2169.18665005735,2348.345918375015,2210.9181998562926,2288.5042004882557,2258.093757543576,2208.5562072764637,2333.8885071687814,2236.2866300374594,2429.1524674160305,2309.4216406941096
1800319,2256.0503856244018,2315.578157228961,2263.4846581854686,2307.4637234478682,2365.8908446597593,2341.078036802319,2300.1336047078657,2245.955586666755,2250.776825306796,2207.4673910348715,2237.9224526428548,2275.9376093317837,2255.5866518607763,2154.3621772007946,2365.8252141052085,2716.7058728677075,2295.627104556238,2288.9985062007713,2288.1197448339444,2170.1011988845057,2208.040509139253,2227.036976180266,2176.816753025161,2379.3564408214133,2238.3442236675287,2371.147380328606,2179.1634679268773,2311.9303851084837,2209.3719427754395,2216.185924595795,2281.9946404107427,2213.6564377026643,2275.3512945190664,2231.38916118611,2273.8539708807284,2303.943362414101,2275.6342875703876,2281.5544264636255,2409.763758119597,2249.8572264457334,2299.210379912726,2225.7125874405624,2243.186782223564,2367.1618201368537,2185.231311310702,2269.782811996697,2340.9099811204665,2423.9234378455526,2177.145226535389,2222.0873080880215,2198.1842779178432,2263.05443781369,2288.4639010455085,2401.7035949304195,2241.518583784541,2370.7330539339464,2220.8176789373165,2348.3260981739995,2307.803723808015,2275.080515815425,2239.6599411301067,2235.7295853854503,2252.21955742861,2213.354776617578,2264.480380940023,2561.725382627785,2317.180947143259,2299.238004729745,2127.365557651705,2270.4809423624233,2303.5463068883873,2168.607785775648,2070.3101319419734,2246.453720120083,2226.4262639986428,2260.6924827856833,2309.3864606750494,2267.6339519940593,2210.006236116531,2195.567807543496,2294.3544127737387,2299.7038400854603,2274.237830172183,2198.2344406523152,2314.101537569405,2322.4437024168487,2299.96922851822,2354.3957322931856,2429.450335767086,2275.7585523383864,2193.8604379255585,2244.745383698673,2337.0108126131763,2203.1993224473417,2367.609921563497,2250.3151668988876,2291.478333778408,2285.389158052804,2333.2946671206264,2219.7246073257406,2182.3631579580283,2200.7105579227946,2257.112771184441,2290.177065545854,2397.589132432923,2277.999949836533,2321.5038464561626,2261.7900803524485,2209.5398736505053,2209.6623122896144,2179.8672396242387,2448.543418443961,2329.173553172432
1800359,2187.157651491742,2280.721026001184,2290.811119703047,2309.7397930548486,2364.264425192798,2176.422680124651,2265.964164863449,2317.7435080706023,2160.421146153384,2174.8636175231477,2293.118762632523,2307.9817614378653,2263.2656436206134,2162.015059640337,2225.177946055901,2452.3203136150137,2262.792625150264,2289.2793977972356,2298.7652048334567,2265.1734853499206,2269.226047311611,2212.5136082301324,2139.3640566970507,2310.777556920629,2237.0754712832527,2339.910533137831,2234.1756177802354,2202.665927508708,2189.5046061886655,2376.130563409585,2409.5188684904474,2257.6408913770674,2261.5890957647507,2271.668037648364,2345.6397273035136,2319.9049094211887,2342.3989362167335,2277.2933680901647,2348.5217020471932,2296.3647693554985,2272.457737795401,2193.754457152209,2206.6010715972325,2296.487031501044,2241.4575526794597,2276.652892172173,2229.959618000278,2598.734188897482,2205.355191641042,2267.860660827454,2240.088533249889,2128.700434939685,2303.9858269876186,2313.0963807616604,2253.64498354994,2300.4398632463112,2249.833247374184,2244.5779396873468,2248.5268481779317,2357.9750120609497,2324.1054064491395,2221.0609824573453,2230.764782860948,2420.475444986614,2208.2363874152134,2179.8503888616247,2332.6586113140834,2226.751412862669,2189.353226584838,2247.5825011939833,2271.3475795059435,2168.2364731343096,2179.5793293551887,2230.7696961613105,2285.00978677797,2246.149871784831,2349.133743700551,2324.434378375595,2216.5747340657467,2279.282056771554,2330.6271978163168,2289.592859972823,2237.2104782302727,2226.727047094682,2312.748519595009,2293.3932907047024,2315.1969713652497,2378.5444686637466,2361.571902610265,2307.766723997715,2187.8774224360814,2273.395375703447,2294.4726616150824,2203.6325854773368,2302.7589985054765,2243.0954396869174,2276.682981586387,2280.081112537128,2340.693283602839,2219.722284015717,2264.0752225045962,2198.038461011387,2258.9193185578924,2383.7909232527754,2372.4204007456888,2358.8893143185996,2263.0176147963703,2295.0153183800276,2209.346516137289,2205.04975221887,2259.477837212486,2427.0181651943813,2301.2492219842966
