n_po : 5
[   0.          912.65158644 1414.91986625 1816.69194701 2277.01303058 2326.22334647 2714.45891611 2832.8763126  3183.61612856 3229.6237511 ]
[   0.          937.3258155  1418.52287823 1865.08136316 2258.60876087 2351.66701385 2786.29902374 2832.96882146 3193.92473768 3273.31829255]
[   0.          934.74347453 1418.46516749 1860.78319612 2257.67480808 2352.03094774 2789.59012992 2832.39169616 3190.05474341 3277.21455366]
[   0.          935.40599521 1417.88057068 1860.68890954 2263.49016122 2349.07501163 2768.95522681 2832.78092926 3198.8911581  3272.64659228]
[   0.          935.58811711 1417.97827468 1863.45814348 2267.23847921 2352.38836284 2789.31015918 2833.28477939 3203.77104378 3275.42686391]
[   0.          935.61516156 1418.01702804 1862.20337669 2282.32047463 2351.46253507 2782.99878025 2833.22044916 3217.00164322 3275.98285447]
n_po : 7 
[   0.          912.6482007  1414.91794477 1816.62918094 2276.99733078 2326.19598577 2712.08182112 2832.87999346 3183.5035972  3229.33677587]
[   0.          937.34775692 1418.27737979 1866.21924078 2258.44080178 2351.51056143 2786.22345288 2832.39744181 3193.8881678  3275.76031117]
[   0.          934.94479706 1418.18128742 1861.555343   2256.71881332 2351.76785915 2779.42228621 2832.34894762 3186.1902217  3277.50012564]
[   0.          935.46114135 1417.57241556 1862.46783521 2259.79582754 2348.893766   2780.34731798 2831.23439314 3192.82776445 3271.89450693]
[   0.          935.30661368 1417.66296551 1862.27528883 2257.75937361 2351.46043788 2780.85035051 2831.33741159 3189.11358154 3276.08167532]
[   0.          935.3711585  1417.64993201 1862.37583801 2260.0338102 2350.25546346 2780.58018893 2831.36913372 3192.22204086 3274.5790694 ]
n_po : 10 
[   0.          912.57819869 1414.91977585 1816.47176205 2277.0343546 2326.33967523 2711.93298875 2832.85996711 3183.46137297 3229.58207989]
[   0.          937.53494387 1418.2356283  1865.83058264 2258.52493585 2351.8884675  2785.24040678 2832.59869565 3193.72455229 3275.96669563]
[   0.          934.95710458 1418.13968626 1860.71691034 2256.82639782 2351.9487754  2777.73054833 2832.66058415 3185.99457034 3276.97496842]
[   0.          935.4579351  1417.56980111 1861.81350434 2259.83295821 2349.07504357 2779.20030177 2831.50939931 3192.39137565 3271.78211228]
[   0.          935.32241679 1417.65319699 1861.58580087 2257.25667945 2351.68075617 2779.08461042 2831.60178887 3188.79799414 3277.16278207]
[   0.          935.361279   1417.64990865 1861.62734831 2258.50082628 2350.41913491 2779.04676195 2831.62187784 3189.85179298 3274.22044479]

